AthleteID,Sex,BestMedal,NSeasons
100982,M,None,2
100983,M,None,1
100984,M,Bronze,1
100985,M,None,1
100986,M,None,1
100987,F,Bronze,2
100988,F,Bronze,3
10099,M,None,1
100990,M,None,1
100991,M,None,1
100992,F,None,1
100993,M,Gold,1
100994,M,None,1
100995,M,Gold,1
100996,M,None,2
100997,M,Silver,1
100998,M,None,1
100999,M,None,2
101,M,None,1
1010,M,None,1
10100,M,None,1
101000,M,Gold,1
101001,M,None,1
101002,M,None,1
101003,M,None,1
101004,M,None,3
101005,F,None,1
101006,F,None,1
101007,F,None,1
101008,F,None,1
101009,M,Silver,5
10101,M,None,1
101010,M,None,1
101011,M,None,1
101012,F,None,1
101013,F,None,2
101014,M,None,1
101015,M,None,2
101016,M,None,1
101017,M,None,1
101018,M,Silver,1
101019,M,None,1
10102,F,None,1
101020,M,None,1
101021,M,None,1
101022,M,None,1
101023,M,None,1
101024,M,Silver,2
101025,M,None,1
101026,F,Gold,1
101028,M,Bronze,2
101029,M,None,1
10103,F,None,1
101030,F,None,1
101031,M,None,2
101032,M,None,1
101033,M,None,1
101035,M,None,1
101036,M,None,1
101037,M,None,2
101038,M,None,1
101039,M,Silver,3
10104,M,Silver,1
101040,M,Silver,3
101041,F,Gold,4
101042,M,None,1
101043,M,None,1
101044,M,Gold,1
101045,F,None,2
101046,M,None,1
101047,F,None,1
101048,F,None,1
101049,M,None,1
10105,M,Silver,2
101050,M,Gold,2
101051,M,None,1
101052,F,None,1
101053,M,Silver,5
101054,M,None,1
101055,F,None,1
101056,M,None,3
101057,M,None,1
101058,F,None,2
10106,M,None,1
101060,M,None,2
101061,F,Gold,2
101062,F,None,1
101063,F,None,1
101064,M,None,2
101065,F,None,2
101066,M,None,1
101068,F,None,1
101069,M,None,2
10107,M,None,1
101070,M,Silver,2
101071,M,None,1
101072,F,None,1
101073,M,None,1
101074,M,None,1
101075,F,Gold,1
101076,M,None,1
101077,M,None,3
101078,M,Gold,1
101079,M,None,1
10108,F,None,1
101080,M,None,1
101081,F,None,1
101082,M,None,1
101083,M,None,2
101085,M,None,1
101086,F,None,2
101087,M,None,1
101089,M,Silver,2
10109,M,None,1
101090,M,Bronze,1
101091,M,None,1
101092,M,None,1
101093,F,None,1
101094,M,None,1
101095,F,None,1
101096,M,None,1
101097,F,None,1
101099,F,None,2
1011,M,None,1
10110,M,None,1
101101,F,None,1
101102,M,None,1
101103,M,None,3
101104,M,Silver,3
101105,F,None,2
101106,M,None,4
101107,M,None,1
101108,M,None,1
101109,F,None,1
10111,F,None,1
101110,M,None,1
101111,M,None,1
101112,M,None,1
101113,M,None,2
101114,M,None,1
101115,M,None,1
101116,F,None,1
101117,M,None,1
101118,M,None,1
101119,M,None,1
10112,F,None,4
101120,M,None,1
101121,M,None,1
101122,M,None,1
101123,F,None,1
101124,M,None,2
101125,M,None,1
101126,M,None,1
101127,M,None,1
101128,M,None,1
101129,M,None,1
10113,M,None,1
101130,M,None,1
101131,M,None,1
101132,M,None,1
101133,F,None,2
101134,M,None,1
101135,M,None,1
101136,M,None,2
101137,F,None,1
101138,M,None,1
101139,M,None,2
10114,M,None,1
101140,F,None,2
101141,M,None,1
101142,M,None,1
101143,F,None,1
101145,M,None,1
101146,F,None,2
101147,M,None,1
101148,M,None,1
10115,F,None,1
101150,F,None,2
101151,M,None,1
101152,M,None,2
101153,M,None,1
101154,M,None,1
101155,F,None,2
101156,F,None,2
101157,F,None,3
101158,F,None,2
101159,M,None,1
10116,M,None,1
101160,F,None,2
101161,F,None,2
101162,M,Gold,1
101163,M,None,1
101164,M,Gold,1
101166,M,None,2
101168,M,None,1
10117,F,None,2
101171,F,None,3
101172,F,None,1
101173,M,None,2
101175,M,None,1
101176,M,Bronze,1
101177,M,None,2
101178,M,None,2
101179,F,None,1
10118,M,None,1
101180,F,None,2
101181,M,None,2
101182,M,None,2
101183,F,Bronze,2
101185,M,None,1
101186,M,None,1
101187,M,None,2
101188,M,None,2
101189,M,None,3
10119,M,None,1
101190,M,None,2
101191,M,None,1
101192,M,None,2
101193,M,None,1
101194,M,None,1
101195,M,None,1
101196,F,None,1
101197,M,None,1
101198,M,None,1
101199,F,None,1
1012,M,None,2
10120,F,None,1
101200,M,None,1
101201,M,None,1
101202,F,None,1
101203,M,None,1
101204,F,None,1
101205,M,None,1
101206,M,None,2
101207,F,None,1
101208,M,None,1
101209,M,None,1
10121,M,Silver,1
101210,M,None,1
101211,M,Gold,3
101212,M,None,1
101213,F,None,1
101214,M,None,1
101215,M,None,1
101216,M,None,1
101217,M,None,1
101218,M,None,1
101219,M,None,2
10122,M,None,1
101220,F,None,1
101221,M,None,1
101222,M,None,1
101223,M,None,1
101224,M,None,2
101225,F,None,2
101226,F,Gold,2
101227,M,None,1
101228,M,Bronze,1
101229,M,Bronze,1
10123,M,None,1
101230,M,None,1
101231,M,None,1
101232,M,None,1
101233,F,None,1
101234,F,None,2
101235,M,None,2
101236,M,None,1
101237,F,None,1
101238,M,None,1
101239,F,Silver,2
10124,F,None,1
101240,M,None,1
101241,M,None,1
101242,F,None,1
101243,M,None,1
101244,M,None,2
101245,F,None,1
101246,F,Bronze,1
101247,M,None,1
101249,M,None,1
10125,M,None,1
101250,F,None,2
101251,M,None,1
101252,M,Gold,1
101253,F,None,1
101254,M,None,2
101255,F,Silver,2
101256,M,None,1
101257,F,None,1
101258,M,Silver,1
101259,F,None,1
10126,M,None,1
101260,M,None,1
101261,M,Silver,2
101262,M,None,1
101263,M,Bronze,3
101264,M,Bronze,2
101265,M,Bronze,3
101266,F,None,1
101267,M,None,1
101269,M,None,3
10127,M,None,1
101270,M,None,2
101273,F,Silver,5
101274,M,None,5
101275,F,None,1
101276,M,None,1
101277,M,Bronze,1
101278,M,None,1
101279,F,None,2
10128,M,Silver,1
101280,M,Gold,2
101281,M,None,1
101282,M,None,1
101283,F,None,1
101284,M,None,1
101285,M,None,1
101286,M,None,1
101287,M,Bronze,1
101288,M,None,1
101289,M,None,1
10129,M,None,1
101290,M,Bronze,3
101291,M,None,1
101292,M,Gold,1
101294,M,None,1
101295,M,None,1
101296,M,None,1
101297,M,None,1
101298,M,Bronze,2
101299,M,None,2
1013,M,None,1
10130,M,None,1
101300,F,None,2
101301,F,None,1
101302,M,None,1
101303,F,None,1
101304,F,None,1
101305,F,None,1
101306,F,None,1
101307,F,None,2
101308,F,None,1
101309,M,None,3
10131,M,None,1
101310,F,None,1
101311,M,Gold,3
101312,M,None,1
101313,M,None,2
101314,M,None,1
101315,M,None,1
101316,M,None,2
101317,M,None,2
101318,M,None,2
101319,M,None,1
10132,M,None,1
101320,M,None,2
101321,F,None,1
101322,F,None,1
101323,M,None,1
101324,M,None,1
101325,F,Bronze,1
101326,F,Gold,1
101327,F,None,2
101328,F,Silver,1
101329,F,None,2
10133,F,None,1
101330,F,None,2
101332,M,None,1
101333,M,None,1
101334,F,None,3
